altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,30,9,Chicago,72,True,True,Chicago,2019-07-13 23:10:27,41.860384,Chicago,-87.625813,60602,Chicago,Chicago,Wabash Ave & 16th St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,7,11,Chicago,73,True,True,Chicago,2019-07-13 22:55:02,41.880422,Chicago,-87.642746,60602,Chicago,Chicago,Jefferson St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,19,4,Chicago,74,True,True,Chicago,2019-07-13 23:08:14,41.893626,Chicago,-87.641527,60602,Chicago,Chicago,Kingsbury St & Erie St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,5,34,Chicago,75,True,True,Chicago,2019-07-13 22:56:36,41.877245,Chicago,-87.639366,60602,Chicago,Chicago,Canal St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,39
0.0,1,32,Chicago,76,True,True,Chicago,2019-07-13 23:10:31,41.880958,Chicago,-87.616743,60602,Chicago,Chicago,Lake Shore Dr & Monroe St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,13,17,Chicago,77,True,True,Chicago,2019-07-13 22:57:32,41.882242,Chicago,-87.641066,60602,Chicago,Chicago,Clinton St & Madison St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,1,17,Chicago,80,True,True,Chicago,2019-07-13 22:58:30,41.880419,Chicago,-87.655519,60602,Chicago,Chicago,Aberdeen St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,0,36,Chicago,81,True,True,Chicago,2019-07-13 22:58:32,41.884241,Chicago,-87.629634,60602,Chicago,Chicago,Daley Center Plaza,IN_SERVICE,1,IN_SERVICE,False,39
0.0,3,14,Chicago,84,True,True,Chicago,2019-07-13 23:10:53,41.891578,Chicago,-87.648384,60602,Chicago,Chicago,Milwaukee Ave & Grand Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,18,4,Chicago,85,True,True,Chicago,2019-07-13 23:09:30,41.90096039,Chicago,-87.62377664,60602,Chicago,Chicago,Michigan Ave & Oak St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,13,6,Chicago,86,True,True,Chicago,2019-07-13 22:56:40,41.89637337,Chicago,-87.66098386,60602,Chicago,Chicago,Eckhart Park,IN_SERVICE,1,IN_SERVICE,False,19
0.0,16,2,Chicago,87,True,True,Chicago,2019-07-13 23:10:24,41.92556258,Chicago,-87.65840426,60602,Chicago,Chicago,Racine Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,2,15,Chicago,88,True,True,Chicago,2019-07-13 23:09:58,41.884069,Chicago,-87.656853,60602,Chicago,Chicago,Racine Ave & Randolph St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,12,Chicago,89,True,True,Chicago,2019-07-13 22:56:49,41.874618,Chicago,-87.632882,60602,Chicago,Chicago,Financial Pl & Ida B Wells Dr (Temp),IN_SERVICE,1,IN_SERVICE,False,15
0.0,35,12,Chicago,90,True,True,Chicago,2019-07-13 22:56:52,41.8810317,Chicago,-87.62408432,60602,Chicago,Chicago,Millennium Park,IN_SERVICE,1,IN_SERVICE,False,47
0.0,0,26,Chicago,91,True,True,Chicago,2019-07-13 22:56:06,41.88338,Chicago,-87.64117,60602,Chicago,Chicago,Clinton St & Washington Blvd,IN_SERVICE,1,IN_SERVICE,False,31
0.0,10,9,Chicago,92,True,True,Chicago,2019-07-13 22:59:16,41.894556,Chicago,-87.653449,60602,Chicago,Chicago,Carpenter St & Huron St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,5,9,Chicago,93,True,True,Chicago,2019-07-13 23:09:22,41.913688,Chicago,-87.652855,60602,Chicago,Chicago,Sheffield Ave & Willow St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,18,11,Chicago,94,True,True,Chicago,2019-07-13 23:06:16,41.918306,Chicago,-87.636282,60602,Chicago,Chicago,Clark St & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,31
0.0,6,5,Chicago,95,True,True,Chicago,2019-07-13 22:56:43,41.778881,Chicago,-87.586647,60602,Chicago,Chicago,Stony Island Ave & 64th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,2,20,Chicago,96,True,True,Chicago,2019-07-13 22:58:38,41.88461618962,Chicago,-87.6445705849,60602,Chicago,Chicago,Desplaines St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,9,46,Chicago,97,True,True,Chicago,2019-07-13 22:38:03,41.865312,Chicago,-87.617867,60602,Chicago,Chicago,Field Museum,IN_SERVICE,1,IN_SERVICE,False,55
0.0,2,11,Chicago,98,True,True,Chicago,2019-07-13 22:59:01,41.882664,Chicago,-87.63253,60602,Chicago,Chicago,LaSalle St & Washington St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,18,0,Chicago,99,True,True,Chicago,2019-07-13 22:59:36,41.89257,Chicago,-87.614492,60602,Chicago,Chicago,Lake Shore Dr & Ohio St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,24,10,Chicago,100,True,True,Chicago,2019-07-13 22:57:42,41.888243,Chicago,-87.63639,60602,Chicago,Chicago,Orleans St & Merchandise Mart Plaza,IN_SERVICE,1,IN_SERVICE,False,35
0.0,9,6,Chicago,101,True,True,Chicago,2019-07-13 22:56:40,41.78101637196,Chicago,-87.5761197602,60602,Chicago,Chicago,63rd St Beach,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,8,Chicago,102,True,True,Chicago,2019-07-13 22:56:12,41.77345849948,Chicago,-87.5853397391,60602,Chicago,Chicago,Stony Island Ave & 67th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,8,7,Chicago,103,True,True,Chicago,2019-07-13 22:54:59,41.87146651779,Chicago,-87.6409491327,60602,Chicago,Chicago,Clinton St & Polk St (*),IN_SERVICE,1,IN_SERVICE,False,16
0.0,13,13,Chicago,106,True,True,Chicago,2019-07-13 22:59:35,41.897448,Chicago,-87.628722,60602,Chicago,Chicago,State St & Pearson St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,8,18,Chicago,107,True,True,Chicago,2019-07-13 22:59:59,41.878287,Chicago,-87.643909,60602,Chicago,Chicago,Desplaines St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,27
0.0,6,13,Chicago,108,True,True,Chicago,2019-07-13 22:55:21,41.87184,Chicago,-87.64664,60602,Chicago,Chicago,Halsted St & Polk St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,2,17,Chicago,109,True,True,Chicago,2019-07-13 23:08:53,41.874754,Chicago,-87.649807,60602,Chicago,Chicago,900 W Harrison St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,16,Chicago,110,True,True,Chicago,2019-07-13 22:57:04,41.893992,Chicago,-87.629318,60602,Chicago,Chicago,Dearborn St & Erie St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,4,22,Chicago,111,True,True,Chicago,2019-07-13 23:10:14,41.894666,Chicago,-87.638437,60602,Chicago,Chicago,Sedgwick St & Huron St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,11,4,Chicago,112,True,True,Chicago,2019-07-13 22:55:04,41.883668,Chicago,-87.64867,60602,Chicago,Chicago,Green St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,0,Chicago,113,True,True,Chicago,2019-07-13 22:59:04,41.91844,Chicago,-87.65222,60602,Chicago,Chicago,Bissell St & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,0,25,Chicago,114,True,True,Chicago,2019-07-13 21:27:25,41.949399,Chicago,-87.654529,60602,Chicago,Chicago,Sheffield Ave & Waveland Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,17,5,Chicago,115,True,True,Chicago,2019-07-13 23:11:03,41.936266,Chicago,-87.652662,60602,Chicago,Chicago,Sheffield Ave & Wellington Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,6,6,Chicago,116,True,True,Chicago,2019-07-13 22:59:06,41.91552,Chicago,-87.687022,60602,Chicago,Chicago,Western Ave & Winnebago Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,23,Chicago,117,True,True,Chicago,2019-07-13 23:10:04,41.94018,Chicago,-87.65304,60602,Chicago,Chicago,Wilton Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,12,7,Chicago,118,True,True,Chicago,2019-07-13 23:07:47,41.911386,Chicago,-87.638677,60602,Chicago,Chicago,Sedgwick St & North Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,0,19,Chicago,119,True,True,Chicago,2019-07-13 23:09:11,41.88592,Chicago,-87.66717,60602,Chicago,Chicago,Ashland Ave & Lake St (Temp),IN_SERVICE,1,IN_SERVICE,False,19
0.0,14,3,Chicago,120,True,True,Chicago,2019-07-13 22:59:31,41.853005,Chicago,-87.630578,60602,Chicago,Chicago,Wentworth Ave & Cermak Rd (Temp),IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,16,Chicago,121,True,True,Chicago,2019-07-13 23:07:01,41.802562,Chicago,-87.590368,60602,Chicago,Chicago,Blackstone Ave & Hyde Park Blvd,IN_SERVICE,1,IN_SERVICE,False,19
0.0,12,3,Chicago,122,True,True,Chicago,2019-07-13 22:58:22,41.87501,Chicago,-87.67328,60602,Chicago,Chicago,Ogden Ave & Congress Pkwy,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,6,Chicago,123,True,True,Chicago,2019-07-13 22:56:42,41.922695,Chicago,-87.697153,60602,Chicago,Chicago,California Ave & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,9,5,Chicago,124,True,True,Chicago,2019-07-13 22:55:50,41.855048,Chicago,-87.675726,60602,Chicago,Chicago,Damen Ave & Cullerton St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,17,6,Chicago,125,True,True,Chicago,2019-07-13 22:58:09,41.890173,Chicago,-87.626185,60602,Chicago,Chicago,Rush St & Hubbard St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,3,11,Chicago,126,True,True,Chicago,2019-07-13 22:54:33,41.911974,Chicago,-87.631942,60602,Chicago,Chicago,Clark St & North Ave,IN_SERVICE,1,IN_SERVICE,False,15
